customer_id;user_id;sex;name;surname;patronymic;day_of_birth;measure;tariff_id;tariff_end_date;instructor_id
14;126;woman;Ева;Ильина;Никифоровна;1993-03-10;{"""height""": """[186]""", """weights""": """[159, 169]""", """measure_dates""": """['2019-07-07', '2019-11-21']"""};4;2022-12-20;
15;127;man;Егор;Вердеревский;Анатольевич;1990-07-23;{"""height""": """[161]""", """weights""": """[89, 96, 94, 98, 93, 95]""", """measure_dates""": """['2019-07-02', '2019-08-27', '2019-10-16', '2020-02-11', '2020-03-14', '2021-04-11']"""};3;2022-09-29;
16;128;man;Айдар;Борисоглебский;Дмитриевич;1967-02-08;{"""height""": """[150]""", """weights""": """[115, 112, 113, 122]""", """measure_dates""": """['2019-12-31', '2021-01-16', '2021-03-29', '2021-04-17']"""};2;2021-07-01;
17;129;woman;Арина;Братиславская;Альбертовна;1983-11-16;{"""height""": """[181]""", """weights""": """[180, 176, 176]""", """measure_dates""": """['2020-03-11', '2020-07-09', '2021-04-18']"""};1;2021-09-28;8
18;130;woman;Алёна;Поднебесная;Григорьевна;1992-03-01;{"""height""": """[204]""", """weights""": """[138, 140, 150, 150]""", """measure_dates""": """['2019-12-31', '2020-01-29', '2021-02-10', '2021-03-22']"""};1;2021-09-14;2
19;131;man;Данил;Аврорин;Михайлович;1972-07-05;{"""height""": """[185]""", """weights""": """[158, 160]""", """measure_dates""": """['2020-11-23', '2021-03-10']"""};4;2022-12-30;3
20;132;man;Станислав;Валевский;Васильевич;2003-11-16;{"""height""": """[152]""", """weights""": """[59, 49, 45, 47]""", """measure_dates""": """['2019-01-15', '2020-11-26', '2021-01-29', '2021-03-23']"""};1;2022-04-19;7
21;133;man;Тимофей;Льдов;Геннадиевич;1952-03-14;{"""height""": """[202]""", """weights""": """[139, 131, 137, 146]""", """measure_dates""": """['2019-06-11', '2020-11-23', '2021-01-23', '2021-03-20']"""};1;2022-06-02;11
22;134;woman;София;Шевченко;Олеговна;1979-06-09;{"""height""": """[191]""", """weights""": """[94]""", """measure_dates""": """['2019-07-05']"""};3;2021-05-09;8
23;135;woman;Алиса;Лионова;Ниловна;1993-03-31;{"""height""": """[193]""", """weights""": """[85, 83]""", """measure_dates""": """['2019-05-16', '2020-09-18']"""};3;2022-04-14;1
24;136;man;Рамиль;Вепрев;Васильевич;1986-03-16;{"""height""": """[172]""", """weights""": """[119, 123, 118, 120]""", """measure_dates""": """['2019-05-12', '2019-07-11', '2020-04-08', '2020-11-15']"""};2;2021-08-20;
25;137;woman;Диана;Игнатова;Григорьевна;1959-05-28;{"""height""": """[175]""", """weights""": """[143, 136, 137]""", """measure_dates""": """['2019-05-20', '2019-10-21', '2021-03-20']"""};2;2021-06-17;
26;138;man;Николай;Березов;Максович;1974-12-13;{"""height""": """[148]""", """weights""": """[46, 37]""", """measure_dates""": """['2020-04-21', '2021-04-12']"""};2;2021-04-03;
27;139;woman;София;Новикова;Аскольдовна;1984-10-23;{"""height""": """[184]""", """weights""": """[112, 113]""", """measure_dates""": """['2020-07-29', '2021-01-15']"""};1;2021-09-12;
28;140;woman;Наталья;Белова;Ивановна;2000-08-26;{"""height""": """[176]""", """weights""": """[104, 106, 112, 104]""", """measure_dates""": """['2019-03-03', '2019-07-18', '2020-01-04', '2020-09-14']"""};4;2021-11-14;
29;141;woman;Эмилия;Братиславская;Дмитриевна;1962-08-21;{"""height""": """[202]""", """weights""": """[110]""", """measure_dates""": """['2020-10-15']"""};3;2021-10-14;
30;142;man;Андрей;Венидиктов;Андреевич;1957-09-24;{"""height""": """[169]""", """weights""": """[51]""", """measure_dates""": """['2019-09-11']"""};4;2021-09-03;12
31;143;man;Эдуард;Доманский;Евгеньевич;1989-02-05;{"""height""": """[194]""", """weights""": """[124, 120, 129]""", """measure_dates""": """['2019-08-03', '2021-02-21', '2021-03-11']"""};4;2022-09-21;8
32;144;woman;Ксения;Новицкая;Борисовна;1953-08-27;{"""height""": """[149]""", """weights""": """[74]""", """measure_dates""": """['2021-02-17']"""};2;2022-11-11;
33;145;man;Марсель;Огинский;Иосифович;1994-06-05;{"""height""": """[153]""", """weights""": """[134, 125, 125, 116]""", """measure_dates""": """['2019-07-12', '2021-01-23', '2021-04-11', '2021-04-24']"""};1;2022-11-14;
34;146;man;Ярослав;Райский;Валерьевич;1998-02-01;{"""height""": """[200]""", """weights""": """[91, 97, 88]""", """measure_dates""": """['2019-01-15', '2020-04-20', '2021-02-02']"""};3;2022-06-02;3
35;147;man;Лев;Крымский;Иосифович;1968-10-14;{"""height""": """[190]""", """weights""": """[124, 133, 133]""", """measure_dates""": """['2020-11-02', '2021-01-31', '2021-04-22']"""};2;2022-07-27;1
36;148;man;Мирон;Соллертинский;Егорович;1995-05-10;{"""height""": """[176]""", """weights""": """[92, 93, 101, 104, 105]""", """measure_dates""": """['2019-06-18', '2019-08-16', '2019-12-07', '2020-09-03', '2021-03-30']"""};4;2022-09-05;9
37;149;woman;Валентина;Прохорова;Владимировна;1969-01-23;{"""height""": """[196]""", """weights""": """[199, 190]""", """measure_dates""": """['2021-03-31', '2021-04-16']"""};4;2022-09-12;
38;150;woman;Соня;Орловская;Никифоровна;1956-05-15;{"""height""": """[186]""", """weights""": """[117, 119, 109, 99]""", """measure_dates""": """['2019-03-12', '2019-07-31', '2020-08-14', '2020-10-20']"""};3;2021-04-20;
39;151;man;Дмитрий;Ягужинский;Егорович;1982-12-20;{"""height""": """[158]""", """weights""": """[88, 84, 93, 90]""", """measure_dates""": """['2019-12-14', '2020-08-17', '2021-03-05', '2021-03-13']"""};4;2022-04-19;
40;152;woman;Мария;Тимошенко;Анатольевна;1966-01-08;{"""height""": """[181]""", """weights""": """[106, 99]""", """measure_dates""": """['2020-01-20', '2021-03-17']"""};4;2021-09-01;13
41;153;woman;Валерия;Третьякова;Олеговна;1983-03-23;{"""height""": """[148]""", """weights""": """[47, 49, 43, 38, 43]""", """measure_dates""": """['2019-09-16', '2019-12-15', '2020-04-08', '2021-03-12', '2021-03-31']"""};2;2021-11-02;
42;154;woman;Эльвина;Истомина;Альбертовна;1980-06-17;{"""height""": """[153]""", """weights""": """[75, 65, 64, 67]""", """measure_dates""": """['2019-01-05', '2019-07-17', '2020-08-06', '2020-09-30']"""};4;2021-12-04;
43;155;man;Данил;Романовский;Александрович;1962-05-29;{"""height""": """[182]""", """weights""": """[128, 134, 129, 134, 133, 124]""", """measure_dates""": """['2019-02-10', '2019-04-13', '2019-06-05', '2020-01-02', '2020-07-15', '2021-02-05']"""};4;2021-07-08;
44;156;woman;Алиса;Третьякова;Даниловна;1993-04-08;{"""height""": """[163]""", """weights""": """[117, 125, 117, 110, 111, 105, 106]""", """measure_dates""": """['2019-05-27', '2019-11-03', '2020-04-26', '2020-08-29', '2020-09-11', '2021-01-02', '2021-04-22']"""};2;2021-11-30;12
45;157;woman;Аида;Смирнова;Егоровна;1985-04-16;{"""height""": """[151]""", """weights""": """[46, 41, 36, 35, 30]""", """measure_dates""": """['2019-03-22', '2020-02-18', '2020-04-20', '2020-06-08', '2021-02-07']"""};4;2021-08-12;8
46;158;man;Одиссей;Долинин;Михайлович;1994-02-19;{"""height""": """[170]""", """weights""": """[134, 131, 130, 133, 133]""", """measure_dates""": """['2019-04-04', '2019-12-21', '2020-06-26', '2020-09-16', '2021-04-06']"""};2;2022-09-16;11
47;159;woman;Доминика;Никитина;Кирилловна;1958-11-04;{"""height""": """[169]""", """weights""": """[47, 48, 43]""", """measure_dates""": """['2020-03-07', '2021-02-08', '2021-02-21']"""};2;2021-11-01;
48;160;woman;Станислава;Зайцева;Аскольдовна;1971-05-09;{"""height""": """[179]""", """weights""": """[119, 110, 109]""", """measure_dates""": """['2020-07-21', '2021-01-07', '2021-03-17']"""};3;2022-11-12;
49;161;man;Даниил;Яропольский;Аркадьевич;1959-09-26;{"""height""": """[185]""", """weights""": """[113, 109, 100, 101, 107]""", """measure_dates""": """['2019-05-13', '2020-04-16', '2021-02-11', '2021-03-03', '2021-03-26']"""};2;2022-09-27;11
50;162;man;Демид;Ладомирский;Артемович;1953-03-07;{"""height""": """[165]""", """weights""": """[108, 101, 95, 86]""", """measure_dates""": """['2019-05-01', '2019-06-17', '2019-10-30', '2019-11-24']"""};3;2022-09-22;5
51;163;woman;Татьяна;Руденко;Григорьевна;1980-12-01;{"""height""": """[171]""", """weights""": """[144, 137, 132, 135, 145, 153]""", """measure_dates""": """['2019-07-13', '2019-09-02', '2019-12-17', '2020-04-12', '2020-04-29', '2021-04-20']"""};4;2022-05-05;8
52;164;woman;Жанна;Полякова;Наумовна;1967-09-08;{"""height""": """[168]""", """weights""": """[71, 81, 83, 90, 81]""", """measure_dates""": """['2019-01-21', '2019-06-20', '2019-09-28', '2020-09-28', '2021-01-21']"""};4;2022-10-31;
53;165;woman;Ксения;Федорова;Борисовна;1979-12-01;{"""height""": """[195]""", """weights""": """[182, 188, 195, 194, 189, 188, 178]""", """measure_dates""": """['2019-01-17', '2019-02-27', '2019-03-18', '2019-04-19', '2020-05-30', '2021-03-15', '2021-04-11']"""};4;2022-10-28;10
54;166;man;Ростислав;Вавилов;Антонович;1957-03-29;{"""height""": """[174]""", """weights""": """[64, 70, 80, 71, 76, 70, 70]""", """measure_dates""": """['2019-01-28', '2019-11-11', '2020-07-20', '2020-08-07', '2020-12-26', '2021-01-20', '2021-03-05']"""};1;2021-09-11;
55;167;woman;Амалия;Соболева;Геннадиевна;1981-10-19;{"""height""": """[188]""", """weights""": """[189, 193, 196, 206, 204, 197, 191]""", """measure_dates""": """['2019-06-10', '2020-03-15', '2020-03-16', '2020-10-18', '2021-02-04', '2021-02-09', '2021-03-01']"""};2;2021-06-04;3
56;168;woman;Наталия;Ефимова;Ниловна;1958-03-07;{"""height""": """[179]""", """weights""": """[114, 117, 117, 115, 108, 98]""", """measure_dates""": """['2019-05-01', '2020-01-17', '2020-04-10', '2021-01-26', '2021-04-18', '2021-04-27']"""};1;2021-08-17;10
57;169;woman;Эмилия;Панченко;Леонидовна;1950-09-10;{"""height""": """[196]""", """weights""": """[93, 100, 96, 100, 92, 101]""", """measure_dates""": """['2019-02-18', '2020-04-09', '2020-06-20', '2020-07-07', '2021-04-12', '2021-04-19']"""};1;2022-05-27;
58;170;woman;Валентина;Шведова;Григорьевна;1968-12-11;{"""height""": """[148]""", """weights""": """[71, 71, 75]""", """measure_dates""": """['2019-04-08', '2020-03-06', '2020-11-13']"""};3;2021-12-15;
59;171;man;ЭмильЮрий;Глинский;Николаевич;1996-12-10;{"""height""": """[158]""", """weights""": """[119, 125, 122, 121, 113, 122, 131]""", """measure_dates""": """['2019-01-28', '2019-04-08', '2020-04-06', '2020-12-13', '2021-01-10', '2021-02-07', '2021-04-23']"""};2;2022-06-08;3
60;172;man;Всеволод;Амурский;Валерьевич;1985-05-23;{"""height""": """[182]""", """weights""": """[116, 122, 122]""", """measure_dates""": """['2021-01-16', '2021-03-04', '2021-03-25']"""};4;2022-10-07;
61;173;man;Ростислав;Печерский;Ильич;1970-02-23;{"""height""": """[160]""", """weights""": """[123]""", """measure_dates""": """['2021-02-10']"""};2;2022-05-28;
62;174;man;Александр;Эллинский;Вениаминович;2003-12-20;{"""height""": """[156]""", """weights""": """[132, 138, 128, 136, 129, 124, 123]""", """measure_dates""": """['2019-01-02', '2019-03-10', '2019-07-30', '2019-09-10', '2020-02-06', '2020-04-16', '2021-03-19']"""};2;2022-11-05;
63;175;woman;Стелла;Кручинина;Кузминична;1998-01-16;{"""height""": """[200]""", """weights""": """[138]""", """measure_dates""": """['2020-02-02']"""};4;2021-04-17;6
64;176;man;Никита;Доманский;Васильевич;1988-12-05;{"""height""": """[150]""", """weights""": """[142, 137, 135, 126, 124]""", """measure_dates""": """['2019-05-28', '2020-02-01', '2021-01-15', '2021-02-14', '2021-03-05']"""};2;2022-05-06;2
65;177;woman;Полина;Волощук;Григорьевна;1976-05-28;{"""height""": """[186]""", """weights""": """[132]""", """measure_dates""": """['2020-07-17']"""};3;2021-11-08;
66;178;woman;Зоя;Коваль;Архиповна;1981-04-13;{"""height""": """[157]""", """weights""": """[95, 94, 93, 92, 89, 87, 85]""", """measure_dates""": """['2019-01-29', '2019-08-09', '2019-11-07', '2020-04-05', '2020-09-04', '2021-03-07', '2021-03-19']"""};4;2022-06-02;6
67;179;man;Григорий;Донской;Викторович;1989-11-10;{"""height""": """[193]""", """weights""": """[112, 119, 127, 134, 133, 136, 129]""", """measure_dates""": """['2020-01-13', '2020-01-15', '2020-03-29', '2020-04-29', '2021-02-05', '2021-02-20', '2021-03-18']"""};4;2021-04-08;9
68;180;man;Одиссей;Оболенский;Геннадиевич;1973-06-26;{"""height""": """[155]""", """weights""": """[57, 53, 50, 49, 47, 38]""", """measure_dates""": """['2019-07-19', '2019-08-16', '2019-12-26', '2020-11-19', '2021-02-04', '2021-03-12']"""};1;2022-07-18;
69;181;woman;Агата;Соколова;Вадимовна;1958-09-07;{"""height""": """[177]""", """weights""": """[141, 141, 147]""", """measure_dates""": """['2019-02-19', '2020-01-25', '2021-03-16']"""};4;2021-06-26;6
70;182;woman;Элла;Кручинина;Игоревна;1956-03-17;{"""height""": """[198]""", """weights""": """[96, 105, 100, 106, 102, 112, 105]""", """measure_dates""": """['2019-04-14', '2020-01-25', '2021-02-12', '2021-04-06', '2021-04-11', '2021-04-12', '2021-04-26']"""};4;2022-11-05;5
71;183;man;Артём;Ваганков;Александрович;1956-09-13;{"""height""": """[186]""", """weights""": """[94, 104, 101, 93, 96]""", """measure_dates""": """['2019-05-31', '2020-05-13', '2020-10-04', '2021-01-06', '2021-04-15']"""};1;2022-07-19;4
72;184;man;Давид;Астров;Ильич;1960-09-02;{"""height""": """[203]""", """weights""": """[148, 152, 145, 145, 136, 132]""", """measure_dates""": """['2019-03-16', '2020-11-02', '2020-11-08', '2021-02-10', '2021-04-10', '2021-04-24']"""};1;2022-04-13;11
73;185;man;Демид;Печерский;Валентинович;1983-03-20;{"""height""": """[164]""", """weights""": """[133, 126, 118]""", """measure_dates""": """['2020-04-05', '2021-01-30', '2021-03-21']"""};2;2022-05-15;
74;186;woman;Елизавета;Максимчук;Николаевна;1994-07-11;{"""height""": """[186]""", """weights""": """[194, 198, 207, 198, 191, 194, 194]""", """measure_dates""": """['2019-03-02', '2019-12-31', '2020-02-16', '2020-06-05', '2021-02-11', '2021-03-24', '2021-04-21']"""};3;2021-06-24;12
75;187;man;Филипп;Мещерский;Викторович;1999-11-29;{"""height""": """[154]""", """weights""": """[135, 140, 137, 141]""", """measure_dates""": """['2019-07-14', '2020-08-17', '2020-09-29', '2021-03-06']"""};2;2021-04-14;
76;188;man;Арсений;Мещерский;Данилович;1965-09-13;{"""height""": """[157]""", """weights""": """[83, 86, 95, 87, 91]""", """measure_dates""": """['2019-01-10', '2020-10-28', '2021-01-01', '2021-03-19', '2021-04-06']"""};2;2022-04-06;2
77;189;woman;Анжела;Новак;Валериевна;1974-12-04;{"""height""": """[189]""", """weights""": """[188, 198, 200, 196]""", """measure_dates""": """['2019-04-07', '2020-12-14', '2021-03-23', '2021-04-18']"""};1;2022-05-29;12
78;190;woman;Бажена;Тарасова;Наумовна;2001-05-18;{"""height""": """[174]""", """weights""": """[78, 81, 89, 84, 88, 86]""", """measure_dates""": """['2019-01-09', '2020-08-20', '2020-10-08', '2021-01-06', '2021-01-15', '2021-01-29']"""};2;2021-10-22;
79;191;man;Рамиль;Арбенин;Дмитриевич;1961-04-01;{"""height""": """[170]""", """weights""": """[97]""", """measure_dates""": """['2019-01-29']"""};1;2021-11-09;12
80;192;woman;Лидия;Ленская;Кирилловна;1967-05-21;{"""height""": """[172]""", """weights""": """[64, 74, 80, 77, 85, 88, 89]""", """measure_dates""": """['2019-02-18', '2019-06-11', '2019-08-17', '2019-09-25', '2019-10-21', '2020-01-25', '2020-10-17']"""};1;2022-04-15;4
81;193;man;Рамиль;Александров;Львович;1959-07-06;{"""height""": """[150]""", """weights""": """[82, 85, 90, 100]""", """measure_dates""": """['2019-01-05', '2019-04-12', '2021-02-17', '2021-04-24']"""};1;2021-12-22;
82;194;woman;Аделина;Королева;Алексеевна;1979-04-20;{"""height""": """[180]""", """weights""": """[112, 121, 113, 114]""", """measure_dates""": """['2019-02-12', '2020-09-25', '2020-11-28', '2021-01-27']"""};1;2022-12-03;11
83;195;man;Ян;Уманский;Андреевич;1996-11-05;{"""height""": """[154]""", """weights""": """[84, 74]""", """measure_dates""": """['2019-12-11', '2020-11-04']"""};3;2021-06-25;
84;196;man;Альберт;Барон;Николаевич;1993-08-03;{"""height""": """[167]""", """weights""": """[55, 65, 65]""", """measure_dates""": """['2020-05-13', '2020-08-17', '2021-01-19']"""};1;2021-05-24;5
85;197;man;Назар;Глинский;Денисович;1953-03-03;{"""height""": """[171]""", """weights""": """[49, 40]""", """measure_dates""": """['2019-01-29', '2021-04-13']"""};4;2021-05-09;
86;198;man;Игнат;Донской;Альбертович;1969-09-11;{"""height""": """[200]""", """weights""": """[143]""", """measure_dates""": """['2020-06-04']"""};3;2021-07-13;1
87;199;man;Богдан;Ветров;Геннадьевич;1994-08-27;{"""height""": """[194]""", """weights""": """[193, 193]""", """measure_dates""": """['2020-02-02', '2021-03-26']"""};4;2022-12-11;7
88;200;man;Амир;Болконский;Борисович;1956-04-07;{"""height""": """[153]""", """weights""": """[141, 133, 137, 142]""", """measure_dates""": """['2019-02-23', '2019-12-28', '2020-11-19', '2021-03-21']"""};4;2021-08-14;
89;201;man;Макар;Смирнов;Аркадьевич;1953-05-07;{"""height""": """[190]""", """weights""": """[179, 169, 163]""", """measure_dates""": """['2019-04-28', '2020-01-03', '2020-01-04']"""};4;2022-09-14;11
90;202;woman;София;Меркулова;Вадимовна;1967-02-23;{"""height""": """[168]""", """weights""": """[75, 68, 59, 66, 75, 82]""", """measure_dates""": """['2019-02-06', '2019-07-28', '2020-01-27', '2021-03-13', '2021-03-25', '2021-04-03']"""};4;2022-05-02;
91;203;woman;Аля;Краснова;Егоровна;1975-04-24;{"""height""": """[180]""", """weights""": """[172, 166, 175]""", """measure_dates""": """['2019-04-22', '2019-11-04', '2021-02-04']"""};1;2022-06-14;9
92;204;woman;Елизавета;Братиславская;Геннадиевна;1999-09-26;{"""height""": """[185]""", """weights""": """[181, 187]""", """measure_dates""": """['2020-03-14', '2021-01-12']"""};4;2022-11-09;8
93;205;man;Лев;Чернышевский;Ильич;1992-05-03;{"""height""": """[197]""", """weights""": """[187]""", """measure_dates""": """['2021-04-27']"""};2;2021-10-05;
94;206;man;Платон;Данилевский;Вячеславович;1962-05-19;{"""height""": """[172]""", """weights""": """[118, 126, 133, 133]""", """measure_dates""": """['2020-02-23', '2020-04-14', '2020-05-17', '2021-03-07']"""};1;2021-06-08;
95;207;man;Евгений;Сперанский;Артемович;1999-09-01;{"""height""": """[182]""", """weights""": """[108, 104]""", """measure_dates""": """['2019-12-14', '2021-03-18']"""};1;2022-04-01;1
96;208;man;Руслан;Воронов;Богданович;1974-08-05;{"""height""": """[169]""", """weights""": """[91, 100, 102, 104, 110, 120, 126]""", """measure_dates""": """['2019-03-27', '2019-03-31', '2019-05-05', '2019-11-01', '2020-01-06', '2021-02-19', '2021-04-11']"""};2;2022-07-11;
97;209;man;Мирон;Вавилов;Ильич;2001-06-08;{"""height""": """[183]""", """weights""": """[101, 100]""", """measure_dates""": """['2020-01-08', '2020-10-19']"""};3;2022-11-15;5
98;210;man;Федор;Новодворский;Миронович;1965-03-14;{"""height""": """[195]""", """weights""": """[119, 125, 128]""", """measure_dates""": """['2020-04-19', '2020-10-15', '2021-02-06']"""};2;2021-10-08;
99;211;man;Олег;Льдов;Данилович;1969-02-24;{"""height""": """[188]""", """weights""": """[189, 195, 195]""", """measure_dates""": """['2020-03-22', '2021-03-05', '2021-04-05']"""};4;2022-05-31;
100;212;woman;Ирина;Ларина;Вениаминовна;1958-10-22;{"""height""": """[146]""", """weights""": """[89, 98, 92, 102, 109, 115, 112]""", """measure_dates""": """['2019-04-05', '2019-04-16', '2019-05-23', '2020-05-01', '2020-11-21', '2021-03-24', '2021-03-27']"""};2;2021-08-24;
101;213;man;Святослав;Полонский;Анатольевич;1981-04-11;{"""height""": """[165]""", """weights""": """[58, 63, 61, 65, 70]""", """measure_dates""": """['2019-01-17', '2020-07-03', '2020-10-26', '2021-01-19', '2021-03-06']"""};3;2021-10-02;
102;214;woman;Снежана;Безрукова;Андреевна;1985-11-30;{"""height""": """[205]""", """weights""": """[126, 119]""", """measure_dates""": """['2020-01-27', '2021-04-22']"""};4;2022-09-18;10
103;215;man;Павел;Новодворский;Давидович;1961-12-18;{"""height""": """[195]""", """weights""": """[177]""", """measure_dates""": """['2020-10-22']"""};3;2022-10-20;
104;216;woman;Лилия;Маслова;Васильевна;1974-02-02;{"""height""": """[182]""", """weights""": """[106, 103, 105, 112]""", """measure_dates""": """['2020-08-29', '2021-01-15', '2021-01-20', '2021-03-29']"""};2;2022-07-03;12
105;217;woman;Амалия;Малышева;Евгеньевна;1969-06-17;{"""height""": """[179]""", """weights""": """[64, 68, 60, 56, 58, 51]""", """measure_dates""": """['2019-02-09', '2019-05-02', '2019-05-07', '2020-01-17', '2021-02-03', '2021-02-28']"""};1;2022-12-31;11
106;218;woman;Мария;Руденко;Альбертовна;2002-11-09;{"""height""": """[173]""", """weights""": """[108, 113, 108, 111, 113, 114]""", """measure_dates""": """['2020-07-02', '2020-10-07', '2020-12-22', '2021-01-09', '2021-02-11', '2021-02-16']"""};1;2021-08-24;
107;219;woman;Карина;Куликовская;Георгиевна;1965-12-10;{"""height""": """[188]""", """weights""": """[186, 188, 196]""", """measure_dates""": """['2020-02-09', '2020-04-20', '2021-02-22']"""};4;2021-12-18;1
108;220;man;Всеволод;Чернышевский;Вячеславович;1985-01-06;{"""height""": """[170]""", """weights""": """[60, 66, 58]""", """measure_dates""": """['2020-08-20', '2020-12-06', '2021-02-10']"""};3;2021-11-05;7
109;221;man;Тимур;Владимирский;Миронович;1963-09-28;{"""height""": """[150]""", """weights""": """[140, 143, 137, 138, 141]""", """measure_dates""": """['2019-05-04', '2019-07-10', '2020-04-23', '2021-03-14', '2021-03-28']"""};4;2021-10-01;
110;222;man;Артур;Бельский;Данилович;1997-02-05;{"""height""": """[181]""", """weights""": """[129, 134, 132, 138, 143, 144, 148]""", """measure_dates""": """['2019-02-06', '2019-04-21', '2019-04-29', '2019-05-21', '2020-10-07', '2020-12-07', '2020-12-20']"""};1;2021-10-31;4
111;223;man;Лев;Вертоградский;Иосифович;1965-03-15;{"""height""": """[150]""", """weights""": """[94, 84]""", """measure_dates""": """['2021-02-24', '2021-04-09']"""};1;2021-12-15;
112;224;man;Вадим;Венидиктов;Геннадиевич;1983-04-12;{"""height""": """[202]""", """weights""": """[93, 91, 87]""", """measure_dates""": """['2019-12-30', '2020-11-29', '2021-01-30']"""};4;2022-12-26;6
113;225;man;Петр;Шахов;Вениаминович;1951-09-04;{"""height""": """[146]""", """weights""": """[50, 52, 58, 65]""", """measure_dates""": """['2019-10-05', '2019-11-25', '2021-02-14', '2021-04-01']"""};3;2022-08-29;13
114;226;woman;Алёна;Кольцова;Алексеевна;1996-04-11;{"""height""": """[173]""", """weights""": """[89, 94, 88, 91, 91, 91, 101]""", """measure_dates""": """['2019-05-15', '2019-05-18', '2019-08-10', '2020-01-10', '2020-02-06', '2021-04-19', '2021-04-26']"""};2;2021-11-05;
115;227;woman;Юлианна;Добровольская;Болеславовна;1966-06-27;{"""height""": """[201]""", """weights""": """[93, 100, 109, 103]""", """measure_dates""": """['2020-02-13', '2020-05-25', '2020-11-30', '2021-02-11']"""};3;2021-11-17;10
116;228;woman;Валентина;Мищенко;Болеславовна;1973-03-14;{"""height""": """[170]""", """weights""": """[64, 65, 55, 50, 43]""", """measure_dates""": """['2020-04-02', '2020-07-11', '2021-02-05', '2021-02-10', '2021-04-24']"""};2;2021-06-03;
117;229;man;Александр;Гронский;Анатольевич;1967-07-05;{"""height""": """[174]""", """weights""": """[116, 116, 113, 115, 112, 114]""", """measure_dates""": """['2019-03-11', '2019-06-17', '2020-01-15', '2020-03-15', '2020-08-04', '2021-01-01']"""};3;2021-07-25;13
118;230;man;Алексей;Валевский;Аркадьевич;1961-02-17;{"""height""": """[150]""", """weights""": """[112, 103, 97, 104, 94, 84]""", """measure_dates""": """['2019-11-10', '2019-12-24', '2020-01-21', '2020-02-28', '2021-01-31', '2021-02-24']"""};4;2022-04-12;6
119;231;man;Тимур;Византийский;Геннадьевич;1966-01-22;{"""height""": """[148]""", """weights""": """[70, 74, 71]""", """measure_dates""": """['2019-05-04', '2020-03-24', '2020-06-22']"""};3;2022-12-01;
